Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~UnoCNC.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Projects\UnoCNC\UnoCNC.PrjPcb|ReportField=Title~Bill of Materials For Project [UnoCNC.PrjPcb] (PCB Document : BasePCB.PcbDoc)|ReportField=TotalQuantity~47|ReportField=ReportTime~10:46:16 PM|ReportField=ReportDate~7/30/2017|ReportField=ReportDateTime~7/30/2017 10:46:16 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~UnoCNC.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Projects\UnoCNC\UnoCNC.PrjPcb|ReportField=PCBDataSourceFileName~BasePCB.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Users\Public\Documents\Altium\Projects\UnoCNC\BasePCB.PcbDoc
Polarized Capacitor (Radial)|C1, C2, C3, C9|CAPPR2.5-6.3x6.8/H.9|Cap Pol1|4
Capacitor (Semiconductor SIM Model)|C4, C5, C6, C7, C8, C10, C11, C12|C1206|Cap Semi|8
Typical BLUE SiC LED|D1, D2, D3, D4|6-0805_L|LED3|4
Default Diode|D5|DSO-C2/X2.3|Diode|1
Fuse|F1|BLX-A|Fuse 2|1
Header, 6-Pin|J1|USB2.5-2H4D|Header 6|1
Header, 3-Pin, Dual row|P1, P2, P3, P7|HDR2X3|Header 3X2|4
Header, 4-Pin|P4, P5, P6, P13|HDR1X4|Header 4|4
Header, 3-Pin, Dual row|P8|HDR2X3|Header 3X2|1
Header, 3-Pin|P9|HDR1X3|Header 3|1
Header, 2-Pin|P10|HDR1X2|Header 2|1
Header, 2-Pin|P11|2Pin Phoenix Contact|Header 2|1
Header, 3-Pin, Dual row|P12|HDR2X3_CEN|Header 3X2A|1
Resistor|R1, R2, R3, R4, R5, R6, R7|J1-0603|Res3|7
Switch|S1|SPST-2|SW-PB|1
Stepper Motor Driver|U1, U2, U3|DIP16|A4988|3
8-bit AVR Microcontroller, 32KB Flash, 1KB EEPROM, 2KB SRAM, 32-pin TQFP, Industrial Grade (-40°C to 85°C)|U4|32A_N|ATmega328P-AU|1
USB UART Asynchronous Serial Data Transfer Chip, 28-pin SSOP, Tape and Reel|U5|SSOP-28_N|FT232RL-Reel|1
Positive Voltage Regulator|U6|ISOWATT220AB|L78M05CP|1
Crystal Oscillator|Y1|BCY-W2/E4.7|XTAL|1
